test_name,series_ref,quarter,hlpi,name,short,level,total
All,households,HPIQ.SALL01,2008Q2,1Food,Food,group,870
All,households,HPIQ.SALL01,2008Q3,1Food,Food,group,903
All,households,HPIQ.SALL01,2008Q4,1Food,Food,group,918
All,households,HPIQ.SALL01,2009Q1,1Food,Food,group,927
All,households,HPIQ.SALL01,2009Q2,1Food,Food,group,935
All,households,HPIQ.SALL01,2009Q3,1Food,Food,group,949
All,households,HPIQ.SALL01,2009Q4,1Food,Food,group,929
All,households,HPIQ.SALL01,2010Q1,1Food,Food,group,938
All,households,HPIQ.SALL01,2010Q2,1Food,Food,group,929
All,households,HPIQ.SALL01,2010Q3,1Food,Food,group,952
All,households,HPIQ.SALL01,2010Q4,1Food,Food,group,974
All,households,HPIQ.SALL01,2011Q1,1Food,Food,group,985
All,households,HPIQ.SALL01,2011Q2,1Food,Food,group,996
All,households,HPIQ.SALL01,2011Q3,1Food,Food,group,1013
All,households,HPIQ.SALL01,2011Q4,1Food,Food,group,990
All,households,HPIQ.SALL01,2012Q1,1Food,Food,group,991
All,households,HPIQ.SALL01,2012Q2,1Food,Food,group,990
All,households,HPIQ.SALL01,2012Q3,1Food,Food,group,1001
All,households,HPIQ.SALL01,2012Q4,1Food,Food,group,985
All,households,HPIQ.SALL01,2013Q1,1Food,Food,group,992
All,households,HPIQ.SALL01,2013Q2,1Food,Food,group,992
All,households,HPIQ.SALL01,2013Q3,1Food,Food,group,1010
All,households,HPIQ.SALL01,2013Q4,1Food,Food,group,998
All,households,HPIQ.SALL01,2014Q1,1Food,Food,group,999
All,households,HPIQ.SALL01,2014Q2,1Food,Food,group,1000
All,households,HPIQ.SALL01,2014Q3,1Food,Food,group,1002
All,households,HPIQ.SALL01,2014Q4,1Food,Food,group,995
All,households,HPIQ.SALL01,2015Q1,1Food,Food,group,1006
All,households,HPIQ.SALL01,2015Q2,1Food,Food,group,1003
All,households,HPIQ.SALL01,2015Q3,1Food,Food,group,1008
All,households,HPIQ.SALL01,2015Q4,1Food,Food,group,985
All,households,HPIQ.SALL01,2016Q1,1Food,Food,group,998
All,households,HPIQ.SALL01,2016Q2,1Food,Food,group,1000
All,households,HPIQ.SALL01,2016Q3,1Food,Food,group,1005
All,households,HPIQ.SALL01,2016Q4,1Food,Food,group,992
All,households,HPIQ.SALL01,2017Q1,1Food,Food,group,1016
All,households,HPIQ.SALL01,2017Q2,1Food,Food,group,1023
All,households,HPIQ.SALL01,2017Q3,1Food,Food,group,1035
All,households,HPIQ.SALL01,2017Q4,1Food,Food,group,1017
All,households,HPIQ.SALL01,2018Q1,1Food,Food,group,1022
All,households,HPIQ.SALL01,2018Q2,1Food,Food,group,1028
All,households,HPIQ.SALL01,2018Q3,1Food,Food,group,1035
All,households,HPIQ.SALL01,2018Q4,1Food,Food,group,1021
All,households,HPIQ.SALL01,2019Q1,1Food,Food,group,1034
All,households,HPIQ.SALL01,2019Q2,1Food,Food,group,1038
All,households,HPIQ.SALL01,2019Q3,1Food,Food,group,1052
All,households,HPIQ.SALL01,2019Q4,1Food,Food,group,1047
All,households,HPIQ.SALL01,2020Q1,1Food,Food,group,1068
All,households,HPIQ.SALL01,2020Q2,1Food,Food,group,1077
All,households,HPIQ.SALL01,2020Q3,1Food,Food,group,1090
All,households,HPIQ.SALL01,2020Q4,1Food,Food,group,1072
All,households,HPIQ.SALL01,2021Q1,1Food,Food,group,1077
All,households,HPIQ.SALL01,2021Q2,1Food,Food,group,1093
All,households,HPIQ.SALL01,2021Q3,1Food,Food,group,1123
All,households,HPIQ.SALL01,2021Q4,1Food,Food,group,1116
All,households,HPIQ.SALL01,2022Q1,1Food,Food,group,1152
All,households,HPIQ.SALL01,2022Q2,1Food,Food,group,1166
All,households,HPIQ.SALL01,2022Q3,1Food,Food,group,1214
All,households,HPIQ.SALL011,2008Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,868
All,households,HPIQ.SALL011,2008Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,983
All,households,HPIQ.SALL011,2008Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,939
All,households,HPIQ.SALL011,2009Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,933
All,households,HPIQ.SALL011,2009Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,937
All,households,HPIQ.SALL011,2009Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,992
All,households,HPIQ.SALL011,2009Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,887
All,households,HPIQ.SALL011,2010Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,908
All,households,HPIQ.SALL011,2010Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,877
All,households,HPIQ.SALL011,2010Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,982
All,households,HPIQ.SALL011,2010Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,984
All,households,HPIQ.SALL011,2011Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,992
All,households,HPIQ.SALL011,2011Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,985
All,households,HPIQ.SALL011,2011Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1070
All,households,HPIQ.SALL011,2011Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,917
All,households,HPIQ.SALL011,2012Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,926
All,households,HPIQ.SALL011,2012Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,959
All,households,HPIQ.SALL011,2012Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1070
All,households,HPIQ.SALL011,2012Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,985
All,households,HPIQ.SALL011,2013Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,973
All,households,HPIQ.SALL011,2013Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,983
All,households,HPIQ.SALL011,2013Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1089
All,households,HPIQ.SALL011,2013Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,962
All,households,HPIQ.SALL011,2014Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,957
All,households,HPIQ.SALL011,2014Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1000
All,households,HPIQ.SALL011,2014Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1051
All,households,HPIQ.SALL011,2014Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,980
All,households,HPIQ.SALL011,2015Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1038
All,households,HPIQ.SALL011,2015Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1019
All,households,HPIQ.SALL011,2015Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1111
All,households,HPIQ.SALL011,2015Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1009
All,households,HPIQ.SALL011,2016Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1040
All,households,HPIQ.SALL011,2016Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1074
All,households,HPIQ.SALL011,2016Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1120
All,households,HPIQ.SALL011,2016Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1011
